152,8,36,18,86,66,219,24,138,63,116,215,119,156,12,210,62,161,200,146,95,27,217,147,
94,54,71,139,183,98,183,227,206,218,218,186,131,129,124,171,7,5,172,111,179,197,89,213,
172,29,60,84,179,22,153,30,60,152,3,57,199,11,141,25,40,49,107,63,74,34,10,213,
227,6,131,185,83,143,206,48,162,42,125,104,208,118,40,140,106,163,163,126,23,69,191,228,
111,168,93,143,70,102,205,168,187,132,5,58,68,215,79,227,25,90,48,159,69,100,129,68,
107,27,138,48,160,214,123,195,37,20,50,102,159,54,160,88,13,130,27,20,147,72,198,84,
153,3,72,16,184,155,138,60,219,9,155,128,63,64,202,130,165,131,132,110,169,162,184,123,
6,81,121,9,37,19,118,179,103,209,196,62,197,144,45,64,57,207,198,196,175,162,85,145,
163,186,20,46,189,42,38,83,87,42,218,211,174,112,37,191,25,128,101,82,69,153,57,175,
123,65,59,103,127,205,169,166,17,206,82,174,73,161,223,87,92,10,160,173,108,81,124,218,
147,146,123,77,192,23,105,16,158,176,135,87,147,152,162,219,64,205,3,3,190,1,122,214,
53,210,6,28,203,15,173,202,100,95,99,223,59,141,185,160,20,63,89,139,63,179,161,77,
203,197,98,190,160,134,169,109,159,207,40,52,220,120,177,17,53,158,65,207,126,124,202,191,
91,34,226,51,3,17,20,170,6,38,62,12,196,102,60,118,105,60,220,98,9,88,201,205,
14,9,35,220,70,140,153,93,100,186,196,119,83,131,221,35,32,170,180,51,2,15,183,160,
111,71,14,217,45,26,161,145,189,35,199,204,159,114,24,85,53,65,10,209,147,94,125,47,
204,8,116,173,226,227,164,188,15,50,14,167,81,98,142,153,177,197,94,33,152,3,73,4,
153,193,201,39,188,160,186,1,65,131,27,145,173,191,95,89,221,123,191,19,4,166,53,111,
224,181,161,134,113,76,207,33,27,149,112,227,67,211,142,88,220,145,103,22,197,226,25,162,
49,134,194,107,180,66,150,96,117,117,186,104,203,114,188,64,71,87,174,17,137,163,139,204,
102,149,129,106,145,179,72,120,151,51,114,119,219,40,52,181,180,225,64,2,200,7,104,158,
30,173,196,27,59,56,64,103,164,105,136,11,36,2,213,78,119,113,136,16,100,167,119,202,
173,35,117,157,224,152,74,85,184,198,84,218,70,19,138,52,219,102,57,147,131,60,28,132,
24,223,158,188,26,2,24,78,23,178,6,110,35,50,126,61,157,97,47,64,125,200,67,17,
158,213,43,216,9,36,182,215,191,123,73,158,214,63,84,133,198,133,53,54,120,140,99,104,
225,107,69,111,161,183,132,99,144,56,146,132,209,35,218,81,179,88,8,223,139,113,129,211,
138,34,184,167,225,149,217,134,177,69,50,6,182,25,93,122,14,214,72,175,213,42,161,142,
62,196,114,209,143,55,104,130,99,108,79,13,167,23,187,212,82,14,79,127,9,100,133,92,
155,105,18,171,45,78,13,208,211,29,55,25,84,40,123,91,56,204,163,133,47,213,111,173,
110,54,136,71,189,214,103,171,17,51,162,154,44,203,195,138,14,84,185,168,166,98,116,56,
154,64,80,45,161,203,100,14,55,173,167,17,174,115,81,101,90,54,187,226,77,228,116,24,
122,121,12,25,98,160,132,39,17,20,27,97,28,51,55,191,69,82,211,146,179,18,108,193,
59,175,180,207,70,175,46,171,114,133,151,147,197,136,212,68,172,71,109,181,122,114,199,209,
187,194,86,152,162,46,61,208,215,9,26,184,13,200,178,40,176,222,92,211,11,194,42,32,
48,98,57,81,131,128,36,165,162,56,129,85,50,71,225,118,131,151,56,20,107,12,141,188,
119,220,112,101,14,54,96,10,34,184,102,222,88,13,179,145,217,151,126,210,60,76,19,61,
174,162,151,201,108,223,224,186,224,69,15,159,191,188,25,222,61,209,175,218,112,68,157,78,
17,186,220,5,163,79,100,169,100,56,83,47,56,192,8,178,118,77,205,2,146,225,177,94,
197,148,215,54,204,73,167,206,105,193,118,171,29,5,221,194,127,48,87,74,13,63,3,112,
207,141,172,84,128,227,19,56,181,200,9,136,10,58,137,4,101,47,175,9,48,4,19,192,
119,40,91,109,68,107,83,224,161,155,186,55,15,141,89,90,119,171,188,25,144,125,89,147,
11,66,125,25,71,90,40,189,157,2,190,156,76,11,122,163,34,97,9,113,192,176,64,180,
89,102,227,145,80,139,114,170,163,188,56,154,201,210,13,202,152,205,107,196,126,110,103,55,
151,219,83,19,34,101,26,169,47,33,1,148,101,106,61,7,181,189,227,178,62,175,133,182,
31,51,173,111,46,211,65,190,141,168,42,78,103,72,47,136,103,195,160,180,128,110,91,14,
32,169,159,80,131,23,97,56,89,62,173,149,147,105,6,215,127,161,45,85,157,191,6,83,
221,28,167,32,82,36,142,50,34,60,195,133,154,208,216,145,9,10,15,218,147,210,21,121,
173,119,114,4,40,4,159,146,40,17,82,75,9,112,3,220,146,177,7,19,167,31,23,186,
192,200,39,186,143,133,85,155,30,133,164,111,148,211,12,68,213,128,110,32,1,39,63,7,
96,178,6,89,147,91,52,81,7,60,150,134,177,88,110,148,11,84,145,65,55,172,223,119,
11,71,120,44,186,84,25,157,99,139,36,51,144,160,193,83,41,21,56,99,149,53,13,214,
186,95,134,68,121,144,72,9,100,124,192,147,201,59,149,151,202,108,8,171,38,48,103,144,
